"cluster_id","opinion_id","case_name","citation","docket_number","date_filed","court_level","district","district_signal","district_confidence","panel","vote","issue_tags","issue_tags_secondary","canon_invoked","proposal_outcome","fee_disposition","conflict_certified","statute_version","rule_version","subsequent_history","cite_count","category","read_status"
"1697927","1697927","State Farm Mut. Auto. Ins. Co. v. Nichols","932 So. 2d 1067","SC03-1483, SC03-1653","2006-06-01","supreme","","","","Cantero, J.; Pariente, C.J., Wells, Lewis, Bell, JJ., concur. Anstead, J., concurs in result only, joined by Quince, J.","5-2","4;5","","unknown","unknown","unknown","unknown","unknown","unknown","","121","C","read"
"1140885","1140885","Campbell v. Goldman","959 So. 2d 223","SC06-611","2007-06-14","supreme","","","","Quince, J.; Lewis, C.J., Wells, Cantero, JJ., concur. Pariente, J., specially concurring, joined by Anstead, J. Bell, J., concurring in result only, with opinion","4-2","1;2","","derogation","unknown","unknown","unknown","unknown","unknown","","53","C","read"
"1682609","1682609","In Re Amendments to Rules of Civ. Procedure","966 So. 2d 943","SC07-173","2007-09-27","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","2","A","unread"
"1785275","1785275","Frosti v. Creel","979 So. 2d 912","SC07-122","2008-03-20","supreme","","","","Wells, J.; Lewis, C.J., Anstead, Pariente, Quince, Cantero, Bell, JJ. Unanimous","7-0","6;9;10","","unknown","unknown","unknown","unknown","unknown","unknown","","15","C","read"
"1786026","1786026","Massey v. David","979 So. 2d 931","SC07-776","2008-04-03","supreme","","","","unknown","unknown","","5","unknown","unknown","unknown","unknown","unknown","unknown","","36","C","read"
"1803982","1803982","Trytek v. Gale Industries, Inc.","997 So. 2d 365","SC07-1641","2008-12-11","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","C","unread"
"1597901","1597901","Trytek v. Gale Industries, Inc. (on rehearing)","3 So. 3d 1194","SC07-1641","2009-02-26","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","53","C","unread"
"1555417","9651885","Attorneys' Title Ins. Fund, Inc. v. Gorka","36 So. 3d 646","SC08-1899","2010-04-01","supreme","","","","Per curiam; Pariente, Lewis, Labarga, Perry, JJ. Polston, J., dissents, joined by Quince, C.J., and Canady, J.","4-3","1;4;8","3","unknown","unknown","unknown","unknown","unknown","unknown","narrowed by s 768.79(6), ch. 2022-271 (property insurers only)","42","C","read"
"2543738","2543738","In re Amendments to the Fla. Rules of Civil Procedure","52 So. 3d 579","SC10-148","2010-09-08","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","16","A","unread"
"5049667","4863934","Mady v. DaimlerChrysler Corp.","59 So. 3d 1129","SC08-808","2011-03-24","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","5","C","unread"
"5056323","4871147","Southeast Floating Docks, Inc. v. Auto-Owners Ins. Co.","82 So. 3d 73","SC11-285","2012-02-02","supreme","","","","Lewis, J.; Canady, C.J., Pariente, Quince, Polston, Labarga, JJ., concur. Perry, J., dissents","6-1","5","","unknown","unknown","unknown","unknown","unknown","unknown","","43","C","read"
"5061788","4877101","Shands Teaching Hosp. & Clinic, Inc. v. Mercury Ins. Co. of Fla.","97 So. 3d 204","SC09-2069","2012-06-07","supreme","","","","unknown","unknown","","9","unknown","unknown","unknown","unknown","unknown","unknown","","13","C","read"
"4986681","4796501","In re Amendments to the Fla. Family Law Rules of Procedure","101 So. 3d 360","SC11-2164","2012-10-04","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"4987045","4796894","In re Amendments to the Fla. Rules of Judicial Administration","102 So. 3d 505","SC10-2101","2012-10-18","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","1","A","unread"
"4988617","4798625","Diamond Aircraft Industries, Inc. v. Horowitch","107 So. 3d 362","SC11-1371","2013-01-10","supreme","","","","Lewis, J.; Pariente, Quince, Labarga, Perry, JJ., concur. Polston, C.J., concurs in result. Canady, J., concurs in part and dissents in part","5-1","1;2;4;5","","derogation","unknown","unknown","unknown","unknown","unknown","","129","C","read"
"4990631","4800805","In re Amendments to Fla. Rule of Civil Procedure 1.442","112 So. 3d 1209","SC13-224","2013-04-11","supreme","","","","Per curiam; Polston, C.J., Pariente, Lewis, Quince, Canady, Labarga, Perry, JJ. Unanimous","7-0","","","unknown","unknown","unknown","","unknown","unknown","","0","A","read"
"4991892","4802198","Franks v. Bowers","116 So. 3d 1240","SC11-1258","2013-06-20","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","6","C","unread"
"4997662","4808524","In re Amendments to the Fla. Rules of Civil Procedure","131 So. 3d 643","SC13-74","2013-11-14","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","18","A","unread"
"2686871","2686871","Order","","SC12-157","2014-03-13","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","B","unread"
"2689203","9800945","Advanced Chiropractic & Rehab. Ctr., Corp. v. United Auto. Ins. Co.","140 So. 3d 529","SC13-153","2014-05-29","supreme","","","","unknown","5-2","","5;10","unknown","unknown","unknown","unknown","unknown","unknown","","2","C","read"
"5004631","4816269","Hoang Dinh Duong v. Ziadie","153 So. 3d 354","4D11-1492","2014-12-17","dca","4","S2","single","Fla. 4th DCA","unknown","3;8","","unknown","unknown","unknown","unknown","unknown","unknown","","1","X","read"
"2794251","9806904","Audiffred v. Arnold","161 So. 3d 1274","SC12-2377","2015-04-16","supreme","","","","Lewis, J.; Labarga, C.J., Pariente, Quince, Perry, JJ., concur. Canady, J., dissents, joined by Polston, J. Companion to Pratt","5-2","3;4","","unknown","unknown","unknown","unknown","unknown","unknown","disapproves Andrews v. Frey","19","C","read"
"2794254","9806908","Pratt v. Weiss","161 So. 3d 1268","SC12-1783","2015-04-16","supreme","","","","Lewis, J.; Labarga, C.J., Pariente, Quince, Perry, JJ., concur. Canady, J., dissents, joined by Polston, J.","5-2","1;3","","unknown","unknown","unknown","unknown","unknown","unknown","","39","C","read"
"3180311","9821786","Fridman v. Safeco Ins. Co. of Illinois","185 So. 3d 1214","SC13-1607","2016-02-25","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","50","C","unread"
"3188611","9822301","Paton v. Geico General Ins. Co.","190 So. 3d 1047","SC14-282","2016-03-24","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","17","C","unread"
"4314140","4091401","Kuhajda v. Borden Dairy Co. of Alabama, LLC","202 So. 3d 391","SC15-1682","2016-10-20","supreme","","","","Canady, J.; Labarga, C.J., Pariente, Lewis, Quince, Perry, JJ., concur. Polston, J., concurs in result. Unanimous in result","7-0","1;2;4","","unknown","unknown","unknown","unknown","unknown","unknown","","45","C","read"
"4317987","4095248","Anderson v. Hilton Hotels Corp.","202 So. 3d 846","SC15-124","2016-11-03","supreme","","","","Lewis, J.; Labarga, C.J., Pariente, Quince, Perry, JJ., concur. Canady and Polston, JJ., concur in result. Unanimous in result","7-0","1;3;4;6;9","","unknown","unknown","unknown","unknown","unknown","unknown","","28","C","read"
"4375984","4153237","In re Amendments to Fla. Family Law Rules of Procedure","214 So. 3d 400","SC16-978","2017-03-16","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","0","A","unread"
"4408574","4185827","Government Employees Ins. Co. v. Macedo","228 So. 3d 1111","SC16-935","2017-07-13","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","44","C","unread"
"4435578","9878870","Joyce v. Federated National Ins. Co.","228 So. 3d 1122","SC16-103","2017-10-19","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","33","C","unread"
"4498881","4276134","Koppel v. Ochoa","243 So. 3d 886","SC16-1474","2018-05-17","supreme","","","","Quince, J.; Labarga, C.J., Pariente, Lewis, Canady, Polston, Lawson, JJ. Unanimous","7-0","2;8;10","","unknown","unknown","unknown","unknown","unknown","unknown","","7","C","read"
"4538793","4316046","Odom v. R.J. Reynolds Tobacco Co.","254 So. 3d 268","SC17-563","2018-09-20","supreme","","","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","15","C","unread"
